Time (days),pwf (psia),qsc (STB/D),Cum (STB)
0,2970.9466454451695,400.00000000000165,400.00000000000165
5,2875.8297579773525,400.00000000000165,800.0000000000033
10,2796.2273182551307,400.00000000000165,1200.000000000005
15,2718.5988540528133,400.00000000000165,1600.0000000000066
20,2641.268373819119,400.00000000000165,2000.0000000000082
25,2563.983944145221,400.00000000000165,2400
30,2486.7066528890496,400.00000000000165,2800.000000000012
35,2409.4304686255014,400.00000000000165,3200.0000000000136
40,2332.154456038734,400.00000000000165,3600.0000000000155
45,2254.878470076491,400.00000000000165,4000.0000000000173
50,2177.602488243322,400.00000000000165,4400.000000000019
55,2100.326507050512,400.00000000000165,4800.000000000021
60,2023.050525957013,399.9999999999985,5200.000000000019
65,1945.7745448789144,399.9999999999985,5600.000000000017
70,1868.4985638032056,399.9999999999985,6000.0000000000155
75,1791.222582727867,399.9999999999985,6400.000000000014
80,1713.9466016525855,399.9999999999985,6800.000000000012
85,1636.670620577313,399.9999999999985,7200
90,1559.3946395020428,399.9999999999985,7600.000000000008
95,1500,342.39733681128797,7942.397336811297
100,1500,130.38937518559396,8072.7867119968905
105,1500,53.37869202109198,8126.165404017983
110,1500,22.229037838688757,8148.394441856672
115,1500,9.294244323159736,8157.688686179831
120,1500,3.889678863219507,8161.578365
125,1500,1.6282012669918384,8163.206566310042
130,1500,0.6815920049986464,8163.8881583150405